ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Seafood Product Preparation and Packaging,Seafood Product Preparation and Packaging,,usd,"0,376",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,Retail Bakeries,,usd,"0,314",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,Commercial Bakeries,,usd,"0,314",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,"Frozen Cakes, Pies, and Other Pastries Manufacturing",,usd,"0,314",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,Cookie and Cracker Manufacturing,,usd,"0,548",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",,usd,"0,548",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing| Bakeries and Tortilla Manufacturing,Tortilla Manufacturing,,usd,"0,548",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Roasted Nuts and Peanut Butter Manufacturing,,usd,"0,501",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Other Snack Food Manufacturing,,usd,"0,501",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Coffee and Tea Manufacturing,,usd,"0,549",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Flavoring Syrup and Concentrate Manufacturing,,usd,"0,448",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",,usd,"0,449",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Spice and Extract Manufacturing,,usd,"0,449",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,Perishable Prepared Food Manufacturing,,usd,"0,603",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Food Manufacturing|Other Food Manufacturing,All Other Miscellaneous Food Manufacturing,,usd,"0,603",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Soft Drink Manufacturing,,usd,"0,378",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Bottled Water Manufacturing,,usd,"0,378",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Ice Manufacturing,,usd,"0,378",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Breweries,,usd,"0,377",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Wineries,,usd,"0,210",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Beverage Manufacturing,Distilleries,,usd,"0,446",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Beverage and Tobacco Product Manufacturing|Tobacco Manufacturing,Tobacco Manufacturing,,usd,"0,118",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Textile Mills|Fiber, Yarn, and Thread Mills","Fiber, Yarn, and Thread Mills",,usd,"0,837",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Fabric Mills,Broadwoven Fabric Mills,,usd,"0,525",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Fabric Mills,Narrow Fabric Mills and Schiffli Machine Embroidery,,usd,"0,525",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Fabric Mills,Nonwoven Fabric Mills,,usd,"0,525",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Fabric Mills,Knit Fabric Mills,,usd,"0,525",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Textile and Fabric Finishing and Fabric Coating Mills,Textile and Fabric Finishing Mills,,usd,"0,452",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Mills|Textile and Fabric Finishing and Fabric Coating Mills,Fabric Coating Mills,,usd,"0,452",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Product Mills| Textile Furnishings Mills,Carpet and Rug Mills,,usd,"0,308",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Product Mills| Textile Furnishings Mills,Curtain and Linen Mills,,usd,"0,220",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Product Mills|Other Textile Product Mills,Textile Bag and Canvas Mills,,usd,"0,263",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Product Mills|Other Textile Product Mills,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",,usd,"0,263",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Textile Product Mills|Other Textile Product Mills,All Other Miscellaneous Textile Product Mills,,usd,"0,263",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Apparel Manufacturing|Apparel Knitting Mills,Hosiery and Sock Mills,,usd,"0,145",U.S EPA,2021
